Ville,Latitude,Longitude
Amiens,49.8986514,2.2145979
Abbeville,50.1101392,1.7962242
Albert,50.0033988,2.6340819
Péronne,49.926248,2.8908477
Doullens,50.1514695,2.2819405
Corbie,49.9216618,2.4800254
Montdidier,49.647487,2.5486319
Roye,49.6907257,2.7521182
Longueau,49.8726485,2.3500182
Ham,49.7529828,3.0523779
